,Id,Id2,FIPS,,White,Black,American_Indian_and_Alaska_Native,Asian,Asian_Indian,Japanese,Korean,Vietnamese,Other_Asian,Hispanic_or_Latino,Mexican,Puerto_Rican,Cuban,Other_Hispanic_or_Latino
132,1400000US11001008803,11001008803,Census Tract 88.03,,30.8,60.5,0.4,3.2,0.4,0.2,1,0,0,7.6,1.8,0.3,1.9,3.7
133,1400000US11001008804,11001008804,Census Tract 88.04,,4.6,81.5,0,6.4,0,3.8,0,0,2.2,5.2,0,0.8,0,4.4
134,1400000US11001008903,11001008903,Census Tract 89.03,,6.6,86.8,0,2.1,1.4,0,0.7,0,0,5.9,0.4,0,0.4,5.1
135,1400000US11001008904,11001008904,Census Tract 89.04,,3.8,81.9,0,1.9,0,1.5,0.2,0,0,10.6,0,1.4,0,9.2
136,1400000US11001009000,11001009000,Census Tract 90,,2.4,95.8,0,0,0,0,0,0,0,1.8,0,0.2,0,1.6
137,1400000US11001009102,11001009102,Census Tract 91.02,,11.1,84.4,0,0.8,0.2,0.3,0.1,0,0,10.1,6.6,0.4,0,3.1
138,1400000US11001009201,11001009201,Census Tract 92.01,,33.4,58.4,0.2,1.4,0,0.3,0,0.6,0,7,0.4,0.6,0,6
139,1400000US11001009203,11001009203,Census Tract 92.03,,16.3,75.9,0,0,0,0,0,0,0,8.5,2.2,0.9,0.3,5.1
140,1400000US11001009204,11001009204,Census Tract 92.04,,10.6,74.7,0,1,0,0,0,0,0,18.9,0.1,0,0.3,18.4
141,1400000US11001009301,11001009301,Census Tract 93.01,,34.1,59.1,0.8,2.9,0,0.3,0,0.7,0,3.6,1.1,0.3,0.1,2.1
142,1400000US11001009302,11001009302,Census Tract 93.02,,18.9,63.1,0,12,0.3,0,0,0,0,7.5,0.8,0,0,6.7
143,1400000US11001009400,11001009400,Census Tract 94,,19.3,77.5,0.9,0.7,0.1,0,0,0,0,6.8,0.3,1,1,4.6
144,1400000US11001009501,11001009501,Census Tract 95.01,,27.9,54.1,0.2,2.3,0.1,0,0.1,0.5,0.4,20,0.9,0.3,0.4,18.4
145,1400000US11001009503,11001009503,Census Tract 95.03,,16.2,82.3,0,0.7,0,0,0,0.7,0,3.1,0.1,1.1,0,1.8
146,1400000US11001009504,11001009504,Census Tract 95.04,,18.2,68.2,0.2,0.2,0,0,0,0,0,13.5,0,1,0.5,12
147,1400000US11001009505,11001009505,Census Tract 95.05,,1.7,82.3,0.5,2.3,1.4,0,0,0,0,13.4,0,0.5,0,12.9
148,1400000US11001009507,11001009507,Census Tract 95.07,,7.8,91.9,0,0,0,0,0,0,0,11.8,1.4,0.4,0,10.1
149,1400000US11001009508,11001009508,Census Tract 95.08,,7.8,79.7,0,2,0.5,0,0,0,0,10.8,2,1.5,0,7.3
150,1400000US11001009509,11001009509,Census Tract 95.09,,2.3,85,0,0,0,0,0,0,0,12.8,0,0,0,12.8
151,1400000US11001009601,11001009601,Census Tract 96.01,,0.2,97.2,0,0,0,0,0,0,0,0.5,0,0,0,0.4
152,1400000US11001009602,11001009602,Census Tract 96.02,,0.3,95.6,0,0,0,0,0,0,0,4.4,0,0,0,4.4
153,1400000US11001009603,11001009603,Census Tract 96.03,,1,92.3,0.9,0,0,0,0,0,0,4.4,0,0,0,4.4
154,1400000US11001009604,11001009604,Census Tract 96.04,,3,96.6,0,0,0,0,0,0,0,2.7,1.5,0,0,1.3
155,1400000US11001009700,11001009700,Census Tract 97,,0.3,98.1,0,0,0,0,0,0,0,0.5,0,0.1,0.3,0
156,1400000US11001009801,11001009801,Census Tract 98.01,,0.9,94.5,0.1,0,0,0,0,0,0,0.7,0,0,0,0.7
157,1400000US11001009802,11001009802,Census Tract 98.02,,0,100,0,0,0,0,0,0,0,0,0,0,0,0
158,1400000US11001009803,11001009803,Census Tract 98.03,,0.2,99.8,0,0,0,0,0,0,0,0,0,0,0,0
159,1400000US11001009804,11001009804,Census Tract 98.04,,1.5,93.8,0,0,0,0,0,0,0,5.5,0.7,0,0,4.8
160,1400000US11001009807,11001009807,Census Tract 98.07,,2.5,96.9,0,0,0,0,0,0,0,0.7,0,0.7,0,0
161,1400000US11001009810,11001009810,Census Tract 98.10,,0.2,96.2,0,0,0,0,0,0,0,0.4,0,0,0,0.4
162,1400000US11001009811,11001009811,Census Tract 98.11,,0,99.6,0,0,0,0,0,0,0,0,0,0,0,0
163,1400000US11001009901,11001009901,Census Tract 99.01,,6.2,90.9,0,0,0,0,0,0,0,1.6,0,0,0,1.6
164,1400000US11001009902,11001009902,Census Tract 99.02,,0.8,96.9,0,0.4,0,0,0,0,0,1.1,0,0,0.1,1
165,1400000US11001009903,11001009903,Census Tract 99.03,,4,92.8,3.2,0,0,0,0,0,0,1.3,0,0,0.7,0.6
166,1400000US11001009904,11001009904,Census Tract 99.04,,1.2,94,0,0,0,0,0,0,0,4.7,1.4,0,0,3.3
