GEO.id,FIPS,GEO.display-label,HD01_VD01,,HD01_VD02,HD01_VD02A,HD01_VD03,HD01_VD03A,HD01_VD04,HD01_VD04A,HD01_VD05,HD01_VD05A,HD01_VD06,HD01_VD06A,HD01_VD07,HD01_VD07A,HD01_VD08,HD01_VD08A,HD01_VD09,HD01_VD09A,HD01_VD10,HD01_VD10A
Id,Id2,Geography,Estimate; Total:,,Estimate; Total: - White alone,White,Estimate; Total: - Black or African American alone,Black,Estimate; Total: - American Indian and Alaska Native alone,American Indian or Alaskan Native,Estimate; Total: - Asian alone,,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,,Estimate; Total: - Some other race alone,,Estimate; Total: - Two or more races:,,Estimate; Total: - Two or more races: - Two races including Some other race,,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races",
0500000US51107,51107,"Loudoun County, Virginia",338916,,232135,68.49,24880,7.34,847,0.249914433,52794,15.57731119,222,0.065502956,13422,3.960273342,14616,4.312573027,2092,0.617262094,12524,3.695310933
0500000US51109,51109,"Louisa County, Virginia",33743,,26507,78.55,5639,16.71,90,0.266721987,169,0.50084462,0,0,550,1.629967697,788,2.335299173,51,0.151142459,737,2.184156714
0500000US51111,51111,"Lunenburg County, Virginia",12667,,7845,61.93,4366,34.46,13,0.102628878,34,0.268413989,13,0.102628878,200,1.578905818,196,1.547327702,44,0.34735928,152,1.199968422
0500000US51113,51113,"Madison County, Virginia",13208,,11358,85.99,1265,9.57,0,0,81,0.613264688,0,0,10,0.07571169,494,3.74015748,59,0.44669897,435,3.29345851
0500000US51115,51115,"Mathews County, Virginia",8923,,7842,87.88,888,9.95,16,0.179311891,27,0.302588815,0,0,18,0.201725877,132,1.479323098,14,0.156897904,118,1.322425193
0500000US51117,51117,"Mecklenburg County, Virginia",31913,,19229,60.25,11340,35.53,34,0.106539655,180,0.564033466,8,0.025068154,529,1.657631686,593,1.858176918,18,0.056403347,575,1.801773572
0500000US51119,51119,"Middlesex County, Virginia",10817,,8597,79.47,2096,19.37,45,0.416011833,0,0,0,0,43,0.397522418,36,0.332809467,2,0.018489415,34,0.314320052
0500000US51121,51121,"Montgomery County, Virginia",95808,,83583,87.24,4041,4.21,236,0.246325985,5775,6.027680361,23,0.024006346,643,0.671133935,1507,1.572937542,8,0.008350033,1499,1.564587508
0500000US51125,51125,"Nelson County, Virginia",14892,,12450,83.6,2032,13.64,28,0.188020414,65,0.43647596,0,0,239,1.604888531,78,0.523771152,0,0,78,0.523771152
0500000US51127,51127,"New Kent County, Virginia",19187,,15688,81.76,2493,12.99,118,0.614999739,206,1.073643613,0,0,74,0.385677803,608,3.168812217,0,0,608,3.168812217
0500000US51131,51131,"Northampton County, Virginia",12254,,7535,61.49,4519,36.87,12,0.097927207,86,0.701811653,13,0.106087808,36,0.293781622,53,0.432511833,10,0.081606006,43,0.350905827
0500000US51133,51133,"Northumberland County, Virginia",12320,,8681,70.46,3631,29.47,0,0,8,0.064935065,0,0,0,0,0,0,0,0,0,0
0500000US51135,51135,"Nottoway County, Virginia",15756,,8880,56.35,6201,39.35,51,0.323686215,44,0.279258695,0,0,331,2.100787002,249,1.580350343,0,0,249,1.580350343
0500000US51137,51137,"Orange County, Virginia",34239,,28257,82.52,4372,12.76,65,0.189841993,393,1.147813896,0,0,388,1.133210666,764,2.23137358,19,0.055492275,745,2.175881305
0500000US51139,51139,"Page County, Virginia",23905,,22916,95.86,389,1.62,36,0.15059611,121,0.506170257,0,0,40,0.167329011,403,1.685839782,62,0.259359967,341,1.426479816
0500000US51141,51141,"Patrick County, Virginia",18365,,16981,92.46,1209,6.58,17,0.092567384,2,0.01089028,0,0,20,0.108902804,136,0.740539069,0,0,136,0.740539069
0500000US51143,51143,"Pittsylvania County, Virginia",62955,,47318,75.16,13472,21.39,19,0.030180288,226,0.358986578,11,0.017472798,787,1.250099277,1122,1.782225399,50,0.079421809,1072,1.70280359
0500000US51145,51145,"Powhatan County, Virginia",28193,,23853,84.6,3584,12.71,64,0.227006704,175,0.620721456,0,0,74,0.262476501,443,1.571312028,30,0.106409392,413,1.464902635
0500000US51147,51147,"Prince Edward County, Virginia",23140,,14739,63.69,7768,33.56,19,0.082108902,270,1.166810717,0,0,111,0.47968885,233,1.006914434,51,0.22039758,182,0.786516854
0500000US51149,51149,"Prince George County, Virginia",36792,,21952,59.66,11870,32.26,384,1.043705153,734,1.994998913,96,0.260926288,730,1.984126984,1026,2.788649706,229,0.622417917,797,2.16623179
0500000US51153,51153,"Prince William County, Virginia",428772,,266081,62.05,86197,20.1,1348,0.314386201,32799,7.649520025,469,0.109382142,19209,4.480003358,22669,5.286959037,2351,0.548310058,20318,4.738648979
0500000US51155,51155,"Pulaski County, Virginia",34630,,31909,92.14,2081,6,11,0.031764366,52,0.150158822,0,0,84,0.242564251,493,1.423621138,73,0.210799884,420,1.212821253
0500000US51157,51157,"Rappahannock County, Virginia",7446,,6857,92.08,284,3.81,2,0.026860059,53,0.711791566,0,0,19,0.255170561,231,3.102336825,49,0.658071448,182,2.444265377
0500000US51159,51159,"Richmond County, Virginia",9072,,6067,66.87,2490,27.44,28,0.308641975,274,3.020282187,0,0,50,0.551146384,163,1.796737213,22,0.242504409,141,1.554232804
0500000US51161,51161,"Roanoke County, Virginia",93194,,83346,89.43,5171,5.54,73,0.078331223,2516,2.699744619,0,0,167,0.179196086,1921,2.061291499,362,0.388437024,1559,1.672854476
0500000US51163,51163,"Rockbridge County, Virginia",22367,,20998,93.87,641,2.86,46,0.205660124,149,0.666159968,20,0.089417445,151,0.675101712,362,1.618455761,31,0.13859704,331,1.47985872
0500000US51165,51165,"Rockingham County, Virginia",77345,,73299,94.76,1223,1.58,276,0.356842718,517,0.668433641,11,0.014221992,969,1.252828237,1050,1.357553817,53,0.068524145,997,1.289029672
0500000US51167,51167,"Russell County, Virginia",28444,,27615,97.08,384,1.35,8,0.028125439,64,0.225003516,0,0,100,0.351567993,273,0.959780622,33,0.116017438,240,0.843763184
0500000US51169,51169,"Scott County, Virginia",22781,,22385,98.26,161,0.7,9,0.039506606,90,0.395066064,0,0,1,0.004389623,135,0.592599096,0,0,135,0.592599096
0500000US51171,51171,"Shenandoah County, Virginia",42545,,40054,94.14,921,2.16,40,0.094018098,225,0.528851804,0,0,505,1.186978493,800,1.88036197,131,0.307909273,669,1.572452697
0500000US51173,51173,"Smyth County, Virginia",31876,,30699,96.3,663,2.07,17,0.05333166,100,0.313715648,0,0,5,0.015685782,392,1.229765341,27,0.084703225,365,1.145062116
0500000US51175,51175,"Southampton County, Virginia",18364,,11196,60.96,6670,36.32,49,0.266826399,16,0.087126988,0,0,50,0.272271836,383,2.085602265,18,0.098017861,365,1.987584404
0500000US51177,51177,"Spotsylvania County, Virginia",126200,,93660,74.21,20006,15.85,357,0.282884311,3291,2.607765452,222,0.175911252,5473,4.336767036,3191,2.528526149,300,0.237717908,2891,2.290808241
0500000US51179,51179,"Stafford County, Virginia",134672,,94428,70.11,23169,17.2,665,0.493792325,3875,2.877361293,138,0.102471189,7466,5.543839848,4931,3.661488654,483,0.358649162,4448,3.302839492
0500000US51181,51181,"Surry County, Virginia",6885,,3556,51.64,3194,46.39,8,0.116194626,54,0.784313725,0,0,23,0.33405955,50,0.726216412,0,0,50,0.726216412
0500000US51183,51183,"Sussex County, Virginia",11923,,4673,39.19,6800,57.03,34,0.28516313,10,0.083871509,7,0.058710056,170,1.42581565,229,1.920657553,0,0,229,1.920657553
0500000US51185,51185,"Tazewell County, Virginia",44331,,42070,94.89,1221,2.75,50,0.112787891,163,0.367688525,0,0,26,0.058649703,801,1.806862015,5,0.011278789,796,1.795583226
0500000US51187,51187,"Warren County, Virginia",38142,,34867,91.41,1446,3.79,72,0.188768287,377,0.988411725,23,0.060300981,106,0.277908867,1251,3.279848985,56,0.146819779,1195,3.133029207
0500000US51191,51191,"Washington County, Virginia",54833,,52986,96.63,794,1.44,50,0.091185965,264,0.481461893,0,0,230,0.419455437,509,0.92827312,51,0.093009684,458,0.835263436
0500000US51193,51193,"Westmoreland County, Virginia",17518,,11924,68.06,5189,29.62,13,0.074209385,48,0.274003882,0,0,176,1.0046809,168,0.959013586,5,0.028542071,163,0.930471515
0500000US51195,51195,"Wise County, Virginia",40872,,37926,92.79,2143,5.24,43,0.105206498,204,0.499119201,0,0,151,0.369446076,405,0.990898415,36,0.088079859,369,0.902818555
